drug,event,final_severity,ebgm,n_cases,death_rate,signal_overview,statistical_evidence,case_outcomes,mechanism,class_comparison,recommendation
mepolizumab,TOTAL LUNG CAPACITY ABNORMAL,FATAL,100.0541,61,0.46875,"Mepolizumab, an anti-IL-5 monoclonal antibody indicated for severe eosinophilic asthma, shows a strong disproportionality signal for total lung capacity abnormal (MedDRA PT).","With 59 reports versus 0.5 expected, the signal demonstrates extremely high disproportionality (PRR 360.74, EBGM 100.05), indicating a robust statistical association well above background reporting rates.","All 61 cases were serious with a concerning 46.9% fatality rate, occurring predominantly in older patients (median age 65 years).","IL-5 inhibition may disrupt eosinophil-mediated tissue repair and remodeling processes in the lungs, potentially leading to structural changes affecting total lung capacity measurement or actual pulmonary function deterioration.","This pattern appears unique among anti-IL-5 therapies, as severe pulmonary function deterioration with high mortality is not typically associated with this drug class, which generally shows favorable respiratory safety profiles.","Immediate regulatory review and targeted safety communication are warranted, with consideration for enhanced pulmonary function monitoring protocols and potential contraindications in patients with compromised baseline lung capacity."
mepolizumab,TOTAL LUNG CAPACITY INCREASED,MODERATE,87.856,24,0.0,"Mepolizumab, an anti-IL-5 monoclonal antibody indicated for severe eosinophilic asthma, shows a disproportionate association with increased total lung capacity.","Strong statistical signal with PRR 498.05, EBGM 87.86, based on 24 reports versus 0.2 expected, indicating significant disproportionate reporting.","No deaths reported among 24 cases, but 87.5% were serious events with median age of 52 years.","Anti-IL-5 therapy reduces airway eosinophilia and inflammation, potentially leading to improved lung mechanics and increased measurable lung capacity in severe asthma patients.","This finding is consistent with the therapeutic mechanism of IL-5 antagonists, which aim to reduce eosinophilic airway inflammation and improve pulmonary function.","Continue monitoring as this may represent a therapeutic effect rather than an adverse event, but assess clinical context to differentiate from pathological lung hyperinflation."
mepolizumab,ASTHMA-CHRONIC OBSTRUCTIVE PULMONARY DISEASE OVERLAP SYNDROME,MODERATE,85.3661,41,0.0,"Mepolizumab, an anti-IL-5 monoclonal antibody indicated for severe eosinophilic asthma, shows a statistical signal for asthma-chronic obstructive pulmonary disease overlap syndrome (ACOS).","Strong disproportionality signal with PRR 260.76, EBGM 85.37, based on 41 cases versus 0.4 expected, indicating substantial over-reporting relative to background rates.","No deaths reported among 41 cases, with 90.2% classified as serious outcomes and median age of 52 years, suggesting clinically significant but non-fatal presentations.","Anti-IL-5 therapy may unmask underlying COPD components in patients with complex airway disease, or alter inflammatory patterns leading to recognition of previously undiagnosed ACOS.","This signal appears specific to mepolizumab's anti-IL-5 mechanism rather than being a general monoclonal antibody class effect, as IL-5 inhibition specifically targets eosinophilic inflammation.","Enhanced monitoring for COPD features in mepolizumab-treated patients, particularly those with risk factors, and consideration of pulmonary function assessment to distinguish asthma phenotypes."
metformin,LACTIC ACIDOSIS,FATAL,116.9473,1626,0.1517199017199017,"Metformin, a biguanide antidiabetic agent indicated for type 2 diabetes, shows a strong statistical signal for lactic acidosis with 1572 reports versus 13.4 expected.","PRR of 353.73 and EBGM of 116.95 indicate an exceptionally strong disproportionality signal, with observed cases exceeding expected by over 100-fold.","High severity profile with 15.2% fatality rate and 89.3% serious outcomes, predominantly affecting elderly patients (median age 65 years).","Metformin inhibits mitochondrial complex I and hepatic gluconeogenesis, potentially leading to lactate accumulation, particularly in patients with renal impairment or tissue hypoxia.","This represents a well-established class effect of biguanides, with metformin having lower risk than phenformin which was withdrawn due to lactic acidosis.","Reinforce existing contraindications for renal impairment, tissue hypoxia, and acute illness; consider enhanced monitoring guidance for high-risk populations."
metformin,PULMONARY VASCULITIS,FATAL,109.5402,88,0.3146067415730337,"Metformin, a biguanide antidiabetic agent indicated for type 2 diabetes mellitus, shows a disproportionate association with pulmonary vasculitis (MedDRA PT).","Strong statistical signal with PRR 418.23, EBGM 109.54, based on 82 reports versus 0.7 expected, indicating substantial disproportionality.",High mortality (31.5% death rate) and morbidity (98.9% serious outcomes) in predominantly elderly patients (median age 65 years).,"Potential immune-mediated vasculitic process, though no established mechanism links biguanides to pulmonary vasculitis in current literature.","Pulmonary vasculitis is not a recognized class effect of biguanides, making this signal unexpected for metformin's established safety profile.","Urgent regulatory review warranted given signal strength, fatal outcomes, and absence of established mechanism or class precedent."
metformin,NEUROLOGIC NEGLECT SYNDROME,SEVERE,99.9512,44,0.0,"Metformin, a biguanide antidiabetic agent indicated for type 2 diabetes, shows a statistical signal for neurologic neglect syndrome (MedDRA PT).","Strong disproportionality signal with PRR 434.74, EBGM 99.95, based on 43 observed versus 0.3 expected cases, indicating substantial over-reporting.","All 44 cases were serious (100%) with no deaths (0%) and median age of 63 years, suggesting significant morbidity without mortality.","Potential mechanism may involve metformin-induced vitamin B12 deficiency leading to neurological complications, though direct causation for neglect syndrome remains unclear.","This neurological adverse event is atypical for biguanides, which primarily cause gastrointestinal effects and rare lactic acidosis.","Detailed case review recommended to assess temporal relationship, confounding factors, and potential misclassification of neurological symptoms."
omeprazole,CARDIOSPASM,MODERATE,147.3111,46,0.0,"Omeprazole, a proton pump inhibitor indicated for GERD and peptic ulcer disease, shows a statistical signal for cardiospasm (esophageal achalasia-like condition).","Strong disproportionality with PRR 1319.21 and EBGM 147.31 based on 46 reports versus 0.2 expected, indicating a robust statistical association.","No deaths reported with 60.9% serious cases in a median age population of 61 years, suggesting clinically significant but non-fatal presentations.","Prolonged acid suppression may alter esophageal motility through changes in gastrin levels and potential effects on smooth muscle function, though direct causality remains unclear.","This signal appears specific to omeprazole rather than a broad PPI class effect, as cardiospasm is not commonly reported with other proton pump inhibitors.","Further investigation warranted including detailed case review, assessment of temporal relationships, and evaluation of potential confounding factors given the strong statistical signal."
omeprazole,CAROTID ARTERY THROMBOSIS,SEVERE,123.0815,49,0.0196078431372549,"Omeprazole, a proton pump inhibitor indicated for GERD and peptic ulcer disease, shows a statistical signal for carotid artery thrombosis (MedDRA PT).","Strong disproportionality signal with PRR 511.70, EBGM 123.08, and EB05 95.18 based on 43 reports versus 0.3 expected, indicating substantial excess reporting.","Among 49 cases, 100% were serious with 2.0% fatality rate and median age of 61 years, consistent with severe vascular events in an older population.","Potential mechanism involves PPI-induced hypomagnesemia leading to endothelial dysfunction and prothrombotic state, or drug-induced platelet aggregation affecting cerebrovascular circulation.","This arterial thrombotic signal appears specific to omeprazole rather than a general PPI class effect, as other PPIs have not demonstrated similar carotid-specific thrombotic patterns.","Immediate regulatory review warranted given strong signal strength and 100% serious outcomes, with consideration for targeted pharmacovigilance studies and potential prescribing guidance updates."
omeprazole,PALMOPLANTAR KERATODERMA,MODERATE,118.8714,46,0.0425531914893617,"Omeprazole, a proton pump inhibitor indicated for GERD and peptic ulcer disease, shows a statistical association with palmoplantar keratoderma, a hyperkeratotic skin condition affecting palms and soles.","Strong signal with PRR 446.38 and EBGM 118.87 based on 43 reports versus 0.3 expected, indicating a highly significant disproportionality that warrants investigation.","Among 46 cases with median age 62 years, 4.3% resulted in death and 59.6% were classified as serious, suggesting clinically meaningful impact beyond cosmetic concerns.","Proton pump inhibitors may alter keratinocyte proliferation and differentiation through effects on cellular pH regulation and magnesium homeostasis, potentially contributing to hyperkeratotic changes.","This dermatologic reaction appears specific to omeprazole rather than a general PPI class effect, as similar signals are not consistently reported with other proton pump inhibitors.","Regulatory review warranted to evaluate causality assessment, consider product labeling updates, and implement enhanced pharmacovigilance monitoring for dermatologic reactions with omeprazole."
pembrolizumab,IMMUNE-MEDIATED ADRENAL INSUFFICIENCY,SEVERE,55.3315,125,0.088,"Pembrolizumab, an anti-PD-1 checkpoint inhibitor indicated for various cancers, demonstrates a strong statistical signal for immune-mediated adrenal insufficiency (MedDRA PT).","With PRR 150.81, EBGM 55.33, and 124 observed versus 2.2 expected cases, this represents a robust disproportionality signal indicating significantly elevated reporting rates.","Among 125 cases with median age 62 years, 8.8% resulted in death and 67.2% were classified as serious, reflecting substantial clinical impact.","PD-1 inhibition can trigger autoimmune destruction of adrenal cortical cells through enhanced T-cell activation against self-antigens, leading to primary adrenal insufficiency.","This immune-mediated endocrinopathy is consistent with the established safety profile of checkpoint inhibitors, which commonly cause autoimmune adverse events across multiple organ systems.","Enhanced monitoring for adrenal insufficiency symptoms and consideration of baseline cortisol assessment, with prompt corticosteroid replacement therapy when clinically indicated."
pembrolizumab,IMMUNE-MEDIATED PANCYTOPENIA,SEVERE,55.101,18,0.16666666666666666,"Pembrolizumab, an anti-PD-1 checkpoint inhibitor used for various cancers, shows a strong statistical signal for immune-mediated pancytopenia (MedDRA PT: Pancytopenia).","With 18 observed cases versus 0.2 expected, the signal demonstrates extremely high disproportionality (PRR 375.98, EBGM 55.10, EB05 36.86), indicating a robust statistical association far exceeding reporting thresholds.","Cases show severe outcomes with 16.7% fatality rate and 88.9% serious outcomes, occurring in an elderly population (median age 78 years).","Immune-mediated pancytopenia represents a plausible immune-related adverse event (irAE) where PD-1 inhibition disrupts immune tolerance, potentially triggering autoimmune destruction of hematopoietic cells in bone marrow.","This severe hematologic irAE aligns with the known immune-mediated toxicity profile of checkpoint inhibitors, though pancytopenia appears less commonly reported than other established irAEs like colitis or hepatitis.","Urgent regulatory communication warranted given the strong signal, high case fatality rate, and need for enhanced monitoring and management guidance for this potentially life-threatening immune-mediated adverse reaction."
pembrolizumab,IMMUNE-MEDIATED HYPOTHYROIDISM,MODERATE,53.6214,179,0.1388888888888889,"Pembrolizumab, an anti-PD-1 checkpoint inhibitor used for various cancers, shows a strong statistical signal for immune-mediated hypothyroidism (MedDRA PT).","With PRR 134.72 and EBGM 53.62, the 177 observed cases vastly exceed the 3.2 expected cases, indicating a robust and statistically significant association.","Among 179 cases with median age 65 years, death rate was 13.9% and serious rate was 55.6%, reflecting moderate clinical impact in an oncology population.","PD-1 inhibition disrupts immune tolerance mechanisms, leading to T-cell mediated autoimmune destruction of thyroid tissue and subsequent hypothyroidism.","This immune-mediated endocrinopathy is consistent with the established autoimmune toxicity profile of checkpoint inhibitors, representing a well-recognized class effect.","Continue routine thyroid function monitoring as per current guidelines, with consideration for enhanced patient education regarding hypothyroidism symptoms and management."
rofecoxib,LYMPHOEDEMA,MODERATE,172.2192,19,0.0,"Rofecoxib, a withdrawn COX-2 selective inhibitor used for arthritis and pain management, shows a statistical signal for lymphoedema (MedDRA PT).","Strong disproportionality signal with PRR 941.16 and EBGM 172.22 based on 19 reports versus 0.0 expected, indicating substantial over-reporting.","No deaths or serious outcomes reported among 19 cases, with median age 53 years suggesting moderate severity lymphoedema in middle-aged patients.","COX-2 inhibition may affect prostaglandin-mediated vascular permeability and fluid balance, potentially contributing to lymphatic dysfunction and fluid retention.","Lymphoedema is not a well-recognized class effect of COX-2 inhibitors, which are more commonly associated with cardiovascular and renal adverse events.","Given the drug's withdrawal in 2004, this signal serves as historical safety data for regulatory databases and potential mechanistic research on COX-2 inhibitor effects on lymphatic function."
rofecoxib,OESOPHAGEAL SPASM,MODERATE,151.214,14,0.0,"Rofecoxib, a COX-2 selective inhibitor used for arthritis and pain management, shows a disproportionate signal for oesophageal spasm (MedDRA PT).","Strong statistical signal with PRR 5070.46, EBGM 151.21, based on 14 reports versus 0.0 expected, indicating substantial disproportionality.","No deaths or serious outcomes reported among 14 cases, with median patient age of 53 years.","COX-2 inhibition may affect prostaglandin E2-mediated smooth muscle relaxation in the oesophagus, potentially leading to increased muscle contractility and spasm.","Oesophageal spasm is not a well-recognized class effect of COX-2 inhibitors, suggesting this may be specific to rofecoxib's pharmacological profile.","Given rofecoxib's market withdrawal in 2004, this signal provides historical safety data that may inform understanding of COX-2 inhibitor gastrointestinal effects."
rofecoxib,OESOPHAGEAL PAIN,MILD,141.9268,14,0.0,"Rofecoxib, a COX-2 selective inhibitor withdrawn in 2004, indicated for arthritis and pain management, shows a signal for oesophageal pain (MedDRA PT).","Strong statistical signal with PRR 1600.65, EBGM 141.93, based on 14 reports versus 0.0 expected, indicating substantial disproportionality.","No deaths or serious outcomes reported among 14 cases, with median patient age of 53 years, suggesting mild clinical severity.","COX-2 inhibition may alter prostaglandin-mediated gastroprotection, potentially affecting oesophageal mucosa and causing localized irritation or inflammation.","Oesophageal pain is not a well-characterized class effect of COX-2 inhibitors, which more commonly cause gastric and duodenal complications.","Document this potential signal in safety databases as historical reference, given drug withdrawal, and consider monitoring for similar effects with other COX-2 inhibitors."
rosiglitazone,LUMBOSACRAL RADICULOPLEXUS NEUROPATHY,SEVERE,67.4757,6,0.0,"Rosiglitazone, a thiazolidinedione antidiabetic agent restricted since 2010, shows a signal for lumbosacral radiculoplexus neuropathy, a severe peripheral nerve disorder affecting the lower back and leg nerve networks.","Strong disproportionality signal with PRR 145,401 and EBGM 67.48 based on 6 reports versus 0.0 expected, indicating substantial excess reporting well above background rates.","No deaths reported but 83.3% serious outcomes among 6 cases with median age 70 years, consistent with severe neurological impairment in elderly diabetic patients.","Potential mechanism may involve thiazolidinedione-mediated fluid retention and edema causing nerve compression, or metabolic effects on peripheral nerve function in diabetic patients already at risk for neuropathy.","This severe peripheral neuropathy pattern appears distinct from typical thiazolidinedione class effects like heart failure and bone fractures, representing a potentially novel safety concern for this drug class.","Detailed case review warranted to assess causality and temporal relationships, with consideration for regulatory communication given the drug's restricted status and severity of neurological outcomes."
rosiglitazone,DIABETIC NEUROPATHY,MODERATE,44.5273,4,0.0,"Rosiglitazone, a thiazolidinedione antidiabetic agent restricted in 2010, shows a disproportionate signal for diabetic neuropathy (MedDRA PT) despite being indicated for type 2 diabetes management.","Strong disproportionality signal with PRR 2876.07 and EBGM 44.53 (EB05: 18.56) based on 4 observed cases versus 0.0 expected, indicating substantial deviation from background reporting rates.","No deaths reported among 4 cases with 50% serious outcomes and median age of 70 years, suggesting moderate clinical impact in an elderly diabetic population.","Paradoxical worsening of diabetic neuropathy may result from fluid retention and edema characteristic of thiazolidinediones, potentially compromising peripheral circulation and nerve function.","This signal appears consistent with known thiazolidinedione cardiovascular and fluid retention risks, which may indirectly exacerbate diabetic complications including neuropathy.",Monitor for neurological deterioration in rosiglitazone-treated patients and consider detailed case review to assess temporal relationship and confounding factors given the drug's restricted status.
semaglutide,ALLODYNIA,MODERATE,68.5028,127,0.0,"Semaglutide, a GLP-1 receptor agonist indicated for type 2 diabetes and obesity, shows a disproportionate reporting signal for allodynia (abnormal pain sensation to normally non-painful stimuli).","Strong statistical signal with PRR 266.00, EBGM 68.50 (EB05: 59.07), based on 127 cases versus 1.8 expected, indicating substantial disproportionality well above reporting thresholds.","No deaths reported (0.0% mortality), low serious outcome rate (0.8%), with median age of 46 years suggesting occurrence across middle-aged population.","Potential mechanism may involve GLP-1 receptor-mediated effects on peripheral neuropathy or central pain processing, though direct causal pathway remains unclear given limited precedent for this adverse event with incretin-based therapies.","Allodynia is not a recognized class effect of GLP-1 receptor agonists, making this signal notable and requiring evaluation of whether this represents a drug-specific phenomenon versus underlying diabetic neuropathy progression.","Further investigation warranted including detailed case review for temporal relationship, dose-response patterns, and exclusion of confounding factors such as pre-existing diabetic neuropathy."
semaglutide,INJECTION SITE STREAKING,MODERATE,55.0727,15,0.0,"Semaglutide, a GLP-1 receptor agonist indicated for type 2 diabetes and obesity, shows a strong statistical signal for injection site streaking.","With 15 observed cases versus 0.2 expected, the signal demonstrates a very high PRR of 429.62 and EBGM of 55.07, indicating a robust statistical association.","All 15 cases were non-serious with no deaths reported, occurring in patients with a median age of 58 years.",Injection site streaking likely represents local inflammatory response or subcutaneous tissue reaction to the peptide formulation or injection technique.,"This injection site reaction appears consistent with other subcutaneous GLP-1 receptor agonists, though the streaking pattern may represent a distinct local tissue response specific to semaglutide's formulation.",Monitor signal through routine pharmacovigilance and consider inclusion in product labeling as a local injection site reaction if pattern persists.
semaglutide,WEIGHT LOSS POOR,MILD,53.5331,199,0.005025125628140704,"Semaglutide, a GLP-1 receptor agonist indicated for type 2 diabetes and obesity, shows a statistical signal for the adverse event 'weight loss poor' (MedDRA PT).","Strong signal with PRR 123.21, EBGM 53.53, and 197 observed cases versus 3.6 expected, indicating substantial disproportionality.","Low serious adverse event rate (2.5%) and death rate (0.5%) among 199 cases, with median age 64 years, consistent with mild severity classification.","Paradoxical poor weight loss response may reflect individual variability in GLP-1 receptor sensitivity, gastric emptying patterns, or concurrent medications affecting drug efficacy.",Unexpected finding as GLP-1 receptor agonists typically demonstrate consistent weight loss efficacy; this signal suggests subset of patients with reduced therapeutic response.,"Monitor for additional cases and consider patient factors contributing to reduced efficacy, while maintaining current benefit-risk assessment given mild severity profile."
tirzepatide,INJECTION SITE COLDNESS,MILD,35.6427,101,0.0,"Tirzepatide, a GLP-1/GIP dual agonist indicated for type 2 diabetes and obesity, shows a disproportionate signal for injection site coldness.","Strong statistical signal with PRR 135.98, EBGM 35.64, representing 101 observed cases versus 2.7 expected, indicating a robust association well above background rates.","No deaths reported (0.0%) with minimal serious outcomes (1.0%), affecting patients with median age 47 years, consistent with mild severity classification.",Local vasoconstriction or altered microcirculation at injection sites may result from direct peptide effects or injection-related inflammatory responses causing perceived coldness.,"Injection site reactions are recognized with GLP-1 agonists, though coldness appears more prominent with tirzepatide than established GLP-1 monotherapy agents, possibly related to dual receptor activity.",Monitor this emerging signal through routine pharmacovigilance with consideration for product labeling update if the pattern persists with additional data.
tirzepatide,INJECTION SITE INJURY,MILD,31.0413,474,0.0,"Tirzepatide, a GLP-1/GIP dual agonist indicated for type 2 diabetes and obesity, shows a statistical signal for injection site injury.","Strong signal with PRR 81.67, EBGM 31.04, representing 473 observed versus 15.1 expected cases, indicating substantial disproportionate reporting.","No deaths reported (0.0% fatality rate), minimal serious outcomes (0.2%), with median age of 48 years suggesting good tolerability.","Subcutaneous injection delivery can cause local tissue trauma, particularly with repeated injections at the same site or improper injection technique.","Injection site reactions are well-recognized with subcutaneous GLP-1 receptor agonists, though the dual GIP/GLP-1 mechanism may not specifically increase this risk compared to GLP-1 monotherapy.","Enhanced patient education on proper injection technique, site rotation, and needle handling should be emphasized in prescribing information and patient counseling."
tirzepatide,PRODUCT TAMPERING,MODERATE,29.9342,155,0.0064516129032258064,"Tirzepatide, a GLP-1/GIP dual agonist indicated for type 2 diabetes and obesity, shows a disproportionate reporting signal for product tampering events.","Strong statistical signal with PRR 76.42, EBGM 29.93, and 155 cases versus 5.1 expected, indicating a 30-fold increase in reporting probability compared to background rates.","Low mortality (0.6%) and moderate serious outcome rate (9.0%) among 155 cases with median age 52 years, suggesting generally non-fatal but clinically significant events.","Product tampering likely reflects high demand and supply constraints for this popular weight-loss medication, leading to counterfeit products, dose manipulation, or unauthorized compounding rather than direct pharmacological toxicity.","This signal appears unique to tirzepatide and not representative of the broader GLP-1 agonist class, likely reflecting market-specific factors rather than class-wide safety concerns.","Coordinate with regulatory authorities and supply chain partners to investigate counterfeit products and unauthorized compounding, while implementing enhanced product authentication measures."
warfarin,APPENDICOLITH,FATAL,343.6084,53,1.0,"Warfarin, a vitamin K antagonist anticoagulant, shows a disproportionate association with appendicolith (calcified deposits in the appendix) based on 52 reports versus 0.1 expected.","Strong statistical signal with PRR 2786.76, EBGM 343.61, and EB05 272.12, indicating robust disproportionality with high confidence intervals.","All 53 cases were serious with 100% mortality rate, affecting patients with median age of 80 years.",Warfarin-induced anticoagulation may increase bleeding risk during appendiceal inflammation or surgical intervention for appendicolith-related complications.,"This signal is consistent with known hemorrhagic risks of vitamin K antagonists, particularly in elderly patients requiring emergency surgical procedures.",Monitor warfarin patients for abdominal symptoms and ensure appropriate perioperative anticoagulation management in cases requiring appendectomy.
warfarin,ANALGESIC THERAPY,FATAL,284.473,39,1.0,"Warfarin, a vitamin K antagonist used for anticoagulation, shows a statistical signal for analgesic therapy as an adverse event.","Strong disproportionality signal with PRR 2550.05 and EBGM 284.47 based on 39 reports versus 0.0 expected, indicating substantial over-reporting.","All 39 cases resulted in death (100% fatality rate) and were serious, with median age of 80 years suggesting vulnerable elderly population.","Potential drug interaction between warfarin and analgesics leading to enhanced anticoagulation and fatal bleeding complications, particularly in elderly patients with multiple comorbidities.","Consistent with known vitamin K antagonist profile of bleeding risk, though the association with analgesic therapy specifically requires further investigation.","Immediate investigation of case narratives to identify specific analgesic agents and bleeding patterns, with consideration for updated prescribing guidance regarding warfarin-analgesic combinations."
warfarin,ANTICOAGULATION DRUG LEVEL ABOVE THERAPEUTIC,MODERATE,276.0681,70,0.02857142857142857,"Warfarin, a vitamin K antagonist used for anticoagulation, shows a strong signal for anticoagulation drug level above therapeutic range.","With PRR 1082.71 and EBGM 276.07 based on 48 reports versus 0.1 expected, this represents a robust statistical signal indicating significant disproportionate reporting.","Among 70 cases with median age 66 years, death rate was 2.9% and serious adverse event rate was 75.7%, indicating substantial clinical impact despite moderate calibrated severity.","Supratherapeutic warfarin levels result from the drug's narrow therapeutic index and multiple factors affecting metabolism, including drug interactions, dietary changes, and individual variability in CYP2C9 and VKORC1 polymorphisms.","This finding is consistent with the well-established profile of vitamin K antagonists, which are known for unpredictable dose-response relationships and frequent monitoring requirements due to their narrow therapeutic window.","Enhanced monitoring protocols and patient education regarding warfarin therapy should be emphasized, with consideration of more frequent INR monitoring in high-risk populations."
